EpLenMean,TimestepsSoFar,loss_vf_loss,loss_pol_entpen,TimeElapsed,loss_kl,EpThisIter,loss_pol_surr,EpRewMean,AgentID,selected_iter1,iteration,ev_tdlam_before,selected_iter0,loss_ent,EpisodesSoFar
153.181528662,48099,21952.3568929,,35.35682654380798,0.00816268912361,314,-0.0105803046608,-1334.38168278,0,-1,0,-0.00137794017792,-1,11.2004184723,314
150.308777429,47798,20847.1554769,,70.56423497200012,0.00818321989694,324,-0.0109170610473,-1300.19369987,1,-1,0,-0.000484585762024,-1,11.2051610947,324
152.974656811,97069,19889.1032715,,105.55909490585327,0.00770257526892,309,-0.0118698252481,-1317.3127605,0,0,1,0.0329558253288,0,11.0595655441,623
151.816,97019,19407.6500651,,140.39582347869873,0.00774852492032,326,-0.0124363907865,-1300.41108299,1,0,1,0.0494883656502,0,11.0690250397,650
151.934,146669,18361.8914591,,175.27754259109497,0.00835172721418,337,-0.0136435130262,-1291.40131983,0,1,2,0.0422484278679,1,10.918680191,960
148.526,146537,18223.2782186,,210.3282151222229,0.00811513144678,336,-0.0141782564072,-1250.73315145,1,1,2,0.00520384311676,1,10.937743187,986
149.122,195356,17487.1219686,,245.1173233985901,0.00807444811411,319,-0.014606790297,-1234.02443498,0,1,3,0.00468587875366,2,10.8004522324,1279
151.014,195747,17417.959432,,280.70386028289795,0.00814031180926,324,-0.014893499009,-1231.95055656,1,2,3,-0.0258741378784,1,10.8150138855,1310
153.79,244954,17998.1935018,,315.4698266983032,0.00927549235833,311,-0.0166090529431,-1244.67739806,0,1,4,-0.00200402736664,3,10.6668205261,1590
156.136,244942,17493.0286865,,350.2876536846161,0.00815637500879,312,-0.0152540465254,-1257.65658699,1,3,4,-0.0177938938141,0,10.7002649307,1622
154.771,293442,18022.7849528,,385.31135869026184,0.00911911953396,327,-0.0173566564141,-1254.40816517,0,3,5,-0.00235295295715,4,10.535736084,1917
153.623,293572,18313.9193929,,420.1561243534088,0.00935213574364,310,-0.0171996101853,-1251.35655865,1,4,5,-0.0250675678253,2,10.5648708344,1932
155.476,343051,17364.9000854,,455.14402961730957,0.00850125093712,304,-0.0161785287006,-1263.26354498,0,2,6,0.00663322210312,5,10.4242458344,2221
159.394,342809,16242.4769287,,490.10453963279724,0.00877656030934,308,-0.0173692396105,-1283.87049966,1,5,6,-0.0164322853088,5,10.4438495636,2240
163.226,392069,16371.4070231,,525.0627501010895,0.00895195330183,293,-0.01845501567,-1294.54237178,0,1,7,-0.0143609046936,6,10.3271436691,2514
162.776,392265,15843.5100708,,560.1332643032074,0.00913364758405,314,-0.0179809257776,-1273.36666899,1,6,7,-0.00828289985657,4,10.3149404526,2554
159.62,441489,15752.5881755,,595.1658186912537,0.00856235675747,318,-0.0176268813326,-1238.64881496,0,1,8,-0.00603449344635,7,10.2288551331,2832
156.872,440887,15365.0815226,,630.1723721027374,0.00917036652875,312,-0.018471920887,-1208.50463497,1,7,8,-0.0169723033905,5,10.2111577988,2866
158.516,490416,16211.9740804,,664.9463083744049,0.00889130235494,302,-0.0193100926602,-1224.53586689,0,8,9,-0.00522398948669,8,10.122461319,3134
158.849,490288,14144.9820964,,699.8100061416626,0.0092914532482,315,-0.0195874397565,-1211.76721047,1,8,9,-0.00360608100891,8,10.0858411789,3181
158.851,539332,15748.1618856,,734.6364486217499,0.00901067615875,314,-0.019245849379,-1219.13518001,0,9,10,-0.00253820419312,9,10.0307626724,3448
156.061,539752,13975.1240234,,769.5202078819275,0.00894857017556,322,-0.0190061622416,-1179.09077892,1,9,10,-0.00535714626312,2,9.98015022278,3503
155.367,588949,14527.409139,,804.4285061359406,0.00939917770059,314,-0.0207967137831,-1177.03595905,0,10,11,-0.00648701190948,10,9.91267681122,3762
158.166,588438,13988.3515015,,839.2947120666504,0.00933084860056,301,-0.0201616840204,-1180.11280451,1,10,11,0.000924110412598,2,9.86520957947,3804
159.561,637706,13738.9829102,,874.3170216083527,0.00925969759313,296,-0.0213450206502,-1188.39184081,0,11,12,-0.00174045562744,11,9.80867290497,4058
163.665,637455,13494.7209676,,909.1303296089172,0.00890103459824,297,-0.0200577954238,-1206.65437447,1,11,12,-0.000756502151489,8,9.75742340088,4101
163.602,686794,12510.9465739,,944.3511998653412,0.0095583080935,301,-0.0214054154349,-1189.00475445,0,1,13,-0.00419485569,12,9.67189407349,4359
165.821,686316,13398.0003662,,979.2409875392914,0.00899074430345,296,-0.0202792004711,-1205.59997878,1,12,13,0.00018048286438,3,9.63649559021,4397
167.348,736244,13190.1797282,,1014.0705223083496,0.00911634966421,282,-0.0225750476238,-1211.40025134,0,6,14,-0.000814437866211,13,9.56567573547,4641
167.492,736663,11870.6907756,,1048.6699521541595,0.00875153862095,305,-0.0208811253736,-1195.07103495,1,13,14,-0.00030779838562,10,9.5366230011,4702
166.751,785120,12267.329244,,1083.0690405368805,0.00904346065363,299,-0.0220395889701,-1183.16621616,0,7,15,-6.36577606201e-05,14,9.46727848053,4940
166.187,784953,12817.948466,,1117.6869523525238,0.00870990615416,282,-0.0216584534889,-1177.31674942,1,14,15,-0.000135779380798,6,9.44042301178,4984
166.632,834261,12567.6379191,,1152.2906045913696,0.00854534702376,290,-0.0229180532527,-1178.47377897,0,12,16,-0.000177145004272,15,9.37418937683,5230
166.736,833791,11537.0620728,,1187.148726940155,0.00898513684903,293,-0.021567588837,-1174.30014269,1,15,16,-1.23977661133e-05,15,9.34360408783,5277
167.518,882965,12323.2981364,,1221.9825854301453,0.00912003426735,297,-0.0230627497755,-1178.50461217,0,0,17,-0.00386714935303,16,9.27709770203,5527
165.873,883771,11556.7479248,,1256.4921975135803,0.0089981238707,297,-0.0224664770843,-1153.90888699,1,16,17,5.96046447754e-08,5,9.23855209351,5574
167.397,932350,11335.1966349,,1291.045935869217,0.00888753754164,287,-0.0232019457035,-1155.87280706,0,12,18,0.00107717514038,17,9.18686771393,5814
170.712,932378,11694.619222,,1325.6544876098633,0.00853156930922,278,-0.0227316953824,-1169.77408922,1,17,18,0.00044310092926,15,9.14479541779,5852
171.784,982196,11487.3277384,,1360.55091381073,0.00874422490597,291,-0.0230194161801,-1176.05945884,0,18,19,0.000544309616089,18,9.09328842163,6105
167.647,981127,11049.5694784,,1395.205241203308,0.00889756536344,303,-0.023139807124,-1145.80546511,1,18,19,-0.000971078872681,7,9.04269886017,6155
169.886,1030360,10825.372172,,1429.9489612579346,0.00874224008294,275,-0.0242118876922,-1153.50965461,0,14,20,0.000224232673645,19,9.01535987854,6380
170.695,1030967,11903.3941854,,1464.7414467334747,0.00873145057509,285,-0.0238522523335,-1163.08229657,1,19,20,-3.61204147339e-05,5,8.94838428497,6440
170.946,1080232,10162.6356608,,1499.4595730304718,0.00876995762034,292,-0.0249930815286,-1157.58279519,0,12,21,0.000184059143066,20,8.92038917542,6672
177.777,1080450,9806.82000732,,1534.0647158622742,0.00868725394442,264,-0.0236605245445,-1186.83561841,1,20,21,-0.00212597846985,18,8.87271499634,6704
178.032,1129539,10124.3056641,,1568.5238258838654,0.00906127964845,283,-0.0260365318294,-1173.74057019,0,9,22,-6.63995742798e-05,21,8.84163761139,6955
175.765,1129443,9793.26908366,,1602.9896976947784,0.00912202159331,292,-0.025047172055,-1142.55978484,1,21,22,-0.00184941291809,9,8.7797908783,6996
169.11,1178644,9962.0670166,,1637.5611288547516,0.00915841156772,302,-0.0256913665604,-1102.04327459,0,4,23,0.00164258480072,22,8.7459564209,7257
165.794,1178237,9541.60136922,,1672.2048733234406,0.00802280508409,289,-0.0236565012795,-1078.71035876,1,22,23,-0.020574092865,15,8.70836257935,7285
166.887,1227155,9373.30332438,,1706.9855637550354,0.00868536698787,283,-0.0259471180519,-1082.94621199,0,17,24,-0.00228559970856,23,8.6716594696,7540
171.37,1227513,9412.70885213,,1741.7314810752869,0.00935980400148,278,-0.0256223459631,-1101.3826865,1,23,24,-0.00112903118134,22,8.60926818848,7563
174.394,1276964,9672.1300354,,1776.2314479351044,0.00944516276165,278,-0.0266730595613,-1114.79631199,0,13,25,-0.000341773033142,24,8.57153987885,7818
175.236,1276674,9406.59432983,,1810.720862865448,0.00966585033651,287,-0.0266412826604,-1124.80975227,1,24,25,0.000363528728485,17,8.50255393982,7850
175.973,1325549,9391.14222209,,1845.3092408180237,0.00893479892208,275,-0.0267226980068,-1131.24874754,0,8,26,-0.00716030597687,25,8.50417709351,8093
173.842,1325544,8906.55516561,,1879.9103291034698,0.00936629506759,284,-0.0260966654848,-1113.07708806,1,25,26,-0.00693917274475,10,8.42114067078,8134
175.331,1374244,9018.23995972,,1914.5941843986511,0.00953183336727,271,-0.027757231214,-1108.38012116,0,1,27,0.00113785266876,26,8.4181022644,8364
178.696,1374912,8746.55736287,,1949.4333953857422,0.00918873717698,271,-0.0263161723269,-1119.84424688,1,26,27,1.95503234863e-05,13,8.33568572998,8405
179.144,1424234,8972.93054199,,1984.024748325348,0.00958935906723,276,-0.0274557281906,-1123.0881496,0,0,28,8.92877578735e-05,27,8.33315658569,8640
180.794,1424022,8005.69125366,,2018.8774363994598,0.00957060832297,274,-0.0266982815519,-1123.09742449,1,27,28,1.3530254364e-05,0,8.24631404877,8679
178.547,1473109,7830.63982137,,2054.064915895462,0.00910955597647,276,-0.0276114751662,-1092.71854501,0,7,29,-0.000175714492798,28,8.24343109131,8916
178.24,1472438,7843.44576009,,2088.832405567169,0.00894349037359,277,-0.0266685105695,-1075.46726249,1,28,29,2.23517417908e-05,27,8.16408729553,8956
179.324,1522581,8307.75980632,,2123.739780664444,0.00963528659971,274,-0.026959746426,-1080.0550946,0,29,30,-0.000812172889709,29,8.15061187744,9190
177.717,1522063,9106.84112549,,2158.6508259773254,0.00939688235909,281,-0.0282719894021,-1084.58662773,1,29,30,-0.000195384025574,9,8.08410358429,9237
176.171,1571422,7418.12202962,,2193.6173973083496,0.00931998466452,276,-0.0282364757052,-1072.22136597,0,11,31,0.000168919563293,30,8.06946086884,9466
178.621,1571084,7898.31605021,,2228.5983543395996,0.00950633934311,271,-0.0276759939006,-1089.06846993,1,30,31,0.000686347484589,16,8.00122261047,9508
179.362,1620644,7782.33533732,,2263.2312128543854,0.00979073557149,272,-0.0290023322935,-1080.86502566,0,28,32,8.04662704468e-05,31,7.97314500809,9738
181.386,1621094,7773.63508097,,2298.22030878067,0.00949512728645,260,-0.0281188254594,-1078.81633542,1,31,32,0.000427663326263,7,7.92224168777,9768
182.724,1669774,7431.32480876,,2333.1049616336823,0.00997181430769,273,-0.0288798698651,-1082.76972026,0,19,33,-2.40802764893e-05,32,7.88172149658,10011
184.157,1670069,7460.78990682,,2368.02530503273,0.00935557370152,269,-0.0286167910963,-1086.00340473,1,32,33,0.000832259654999,29,7.8562245369,10037
181.762,1718681,7365.83057658,,2403.070216178894,0.0092663828982,281,-0.028606443957,-1072.99292565,0,8,34,-0.00176060199738,33,7.82349395752,10292
179.183,1718531,7324.00298055,,2437.9239530563354,0.00947463413468,264,-0.028187259925,-1060.15236145,1,33,34,-0.000336527824402,18,7.77991342545,10301
