selected_iter1,loss_ent,TimestepsSoFar,ev_tdlam_before,iteration,AgentID,selected_iter0,EpRewMean,EpisodesSoFar,loss_pol_surr,loss_kl,loss_pol_entpen,loss_vf_loss,EpLenMean,EpThisIter,TimeElapsed
-1,11.2265796661,47574,-0.000425219535828,0,0,-1,-1554.68816048,320,-0.0103844804204,0.00762502957756,,31262.6995036,148.66875,320,35.781392097473145
-1,11.2342882156,47951,0.00036609172821,0,1,-1,-1438.61881326,311,-0.00978648160041,0.00734973930715,,21146.1375326,151.386687797,311,71.34089398384094
0,11.1269512177,97494,0.0370426177979,1,0,0,-1489.21808986,641,-0.0116564614485,0.00711436621107,,28119.0642904,152.778361345,321,106.7011935710907
0,11.0814561844,97170,0.0403306484222,1,1,0,-1377.60866331,640,-0.0122265093863,0.00810954065916,,17554.9655355,152.543,329,141.89639163017273
1,11.003484726,145826,0.0313449501991,2,0,1,-1429.32995695,962,-0.0144663935741,0.00840052157097,,26057.4775391,151.74,321,177.24565720558167
1,10.963139534,145716,0.00809252262115,2,1,1,-1324.77005979,954,-0.0140839357919,0.00803653344822,,17353.636027,151.594,314,212.4894461631775
1,10.8935337067,195934,0.00135362148285,3,0,2,-1438.63652178,1260,-0.0144664321269,0.00787558284355,,25198.8388265,157.266,298,247.77239322662354
2,10.841463089,195530,-0.00975322723389,3,1,1,-1378.76596422,1271,-0.0156200396499,0.00842735633099,,17070.7742716,158.937,317,283.199401140213
1,10.7840042114,244407,0.00316196680069,4,0,3,-1426.3163564,1585,-0.0148380602574,0.0081086474238,,25615.0727946,157.518,325,318.43560123443604
3,10.7097148895,244573,-0.0199900865555,4,1,0,-1376.47241226,1569,-0.0160467550595,0.00858833966777,,17710.057841,158.289,298,353.6073908805847
3,10.6603145599,293675,-0.00540161132812,5,0,4,-1415.02474111,1899,-0.0173534092901,0.00905832729768,,24366.0972087,156.292,314,388.86627173423767
4,10.5933523178,293450,-0.0100436210632,5,1,2,-1377.5970251,1868,-0.0170157209238,0.00918040215038,,16742.9836833,160.102,299,424.43139243125916
2,10.5474338531,343291,0.0064742565155,6,0,5,-1429.49399341,2206,-0.0169705545074,0.00858962206015,,23590.7620036,161.552,307,459.7296459674835
5,10.482334137,343272,-0.0150594711304,6,1,5,-1339.15219852,2185,-0.0175778416839,0.00875482506429,,15317.9358317,159.764,317,494.74139070510864
1,10.4272508621,391775,-0.00827705860138,7,0,6,-1358.46958585,2528,-0.017512479341,0.0088986469976,,21490.4034831,156.897,322,530.0380539894104
