loss_vf_loss,EpThisIter,loss_pol_surr,TimeElapsed,loss_pol_entpen,loss_kl,iteration,AgentID,selected_iter0,EpisodesSoFar,EpLenMean,ev_tdlam_before,TimestepsSoFar,EpRewMean,loss_ent,selected_iter1
24716.9487712,418,-0.0449962567266,80.38283562660217,,0.0272293601107,0,0,-1,418,116.222488038,0.333285689354,48581,-569.44763781,-0.738647758961,-1
32296.8653564,422,-0.0464589713762,160.74057149887085,,0.02734331515,0,1,-1,422,115.173809524,0.702703505754,48165,-384.079930626,-1.14886796474,-1
16718.2182007,439,-0.0450888093328,241.6995701789856,,0.0272704992288,1,0,0,857,112.496,0.665377765894,97307,-405.858336077,-0.789790391922,0
18193.5560099,412,-0.0458603927691,321.0435981750488,,0.0272582440327,1,1,0,834,115.188,0.784352570772,97716,-360.004383892,-1.14758312702,0
11227.2952474,437,-0.0459557434078,400.4924681186676,,0.027615770426,2,0,1,1294,114.756,0.626616060734,146723,-405.710726619,-0.828395307064,1
11441.7647603,415,-0.0454442663662,481.01154375076294,,0.0289094769396,2,1,1,1249,115.399,0.886213846505,146969,-352.542372622,-1.18731749058,1
9381.00306193,431,-0.0467176212793,561.2480032444,,0.0272689506334,3,0,2,1725,115.991,0.720919400454,195610,-419.004206768,-0.839320480824,1
6462.10955302,432,-0.0448138668338,640.9059948921204,,0.0294383617196,3,1,1,1681,112.741,0.815077185631,195237,-343.842958391,-1.21786749363,2
7669.66698201,423,-0.0483392011374,722.4486598968506,,0.0279735235963,4,0,3,2148,114.056,0.587840020657,244558,-408.7676179,-0.872600078583,1
5799.92711385,448,-0.0437211812192,801.3609991073608,,0.0300337841036,4,1,0,2129,113.841,0.890132501721,245080,-348.686405636,-1.24717116356,3
6503.52704875,413,-0.048478137857,881.9650032520294,,0.0293752951936,5,0,4,2561,115.236,0.760322749615,293936,-404.021902267,-0.903156638145,3
5740.85452271,416,-0.0451748224635,960.8549513816833,,0.031521522246,5,1,2,2545,117.929,0.867750480771,293906,-348.949385943,-1.27952182293,4
4999.65644836,438,-0.0475420952704,1039.7014770507812,,0.0283116568656,6,0,5,2999,115.427,0.832661896944,342972,-407.32491242,-0.930100440979,2
5178.46900431,421,-0.0450626409729,1119.763004541397,,0.0304489777967,6,1,5,2966,114.048,0.873533636332,342842,-327.70162902,-1.31363999844,5
4367.05210876,434,-0.0476196920984,1200.2784397602081,,0.0283036411274,7,0,6,3433,114.918,0.754231616855,392219,-390.541301298,-0.954738497734,1
4379.21513875,426,-0.0450506055883,1279.7370035648346,,0.0308059961147,7,1,4,3392,113.88,0.693347096443,392128,-330.337475794,-1.33894753456,6
4032.06314087,422,-0.0472247535751,1359.5559310913086,,0.029240078642,8,0,7,3855,115.384,0.829700708389,441689,-395.955289998,-0.98042678833,1
4765.91189575,425,-0.0461500492044,1438.6369955539703,,0.0312746245181,8,1,5,3817,117.528,0.856820687652,441564,-336.865993996,-1.36014008522,7
3788.42561849,448,-0.047725454065,1519.328997850418,,0.0301957934862,9,0,8,4303,114.052,0.853345632553,490513,-389.243987101,-1.01799404621,8
4044.24568176,425,-0.0453243482722,1600.1960027217865,,0.0299330859755,9,1,8,4242,113.47,0.716845065355,490256,-325.447529237,-1.38150238991,8
3689.86673991,451,-0.0475738933892,1680.1335487365723,,0.0300254982042,10,0,9,4754,112.894,0.700795590878,540239,-386.260244787,-1.0509955883,9
3700.7357432,431,-0.0455655134671,1761.9830040931702,,0.0305940558513,10,1,2,4673,112.039,0.818211451173,539801,-314.982524516,-1.41677641869,9
3276.13985189,443,-0.047263560545,1843.1611874103546,,0.029127226444,11,0,10,5197,112.523,0.741428107023,588902,-368.118948546,-1.07793915272,10
3917.58384705,423,-0.0456310501128,1924.1147491931915,,0.0308731901459,11,1,2,5096,113.136,0.82410953939,589076,-315.142634212,-1.45358026028,10
3122.3964742,452,-0.048157704868,2003.5479991436005,,0.0300560491548,12,0,11,5649,112.393,0.764248639345,638254,-379.442859469,-1.09981000423,11
3389.69643402,446,-0.0431646633854,2085.312999725342,,0.0309938314604,12,1,8,5542,110.15,0.853221237659,638204,-300.157978076,-1.47848713398,11
3070.86550395,453,-0.04731818859,2165.005761861801,,0.0292059891702,13,0,12,6102,108.321,0.773996159434,687022,-344.819663891,-1.1373282671,1
